Player,AB,1B,2B,3B,HR
Matt,535,144,36,1,21
Ozzie,533,127,21,1,14
Mike,527,132,22,6,17
Marcell,423,97,14,0,20
Austin,416,108,30,2,16
Nick,361,80,10,0,0
Drake,318,90,12,0,15
Sean,287,58,13,0,16
Ron,261,73,11,1,15
Eli,240,56,8,3,8
